Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
SAN JUAN,Rivadavia,Rivadavia,82582,SI,--,SI,SI,SI,SI,SI,SI,SI,70084010.0,-31.5335200372447,-68.5920689785483
SAN JUAN,San Martín,Barrio Sadop,734,--,--,--,--,--,SI,--,--,--,70091010.0,-31.5367182711489,-68.3955676778174
SAN JUAN,San Martín,Dos Acequias (Est. Los Angacos),972,--,--,--,--,--,SI,--,--,--,70091020.0,-31.4913855475125,-68.4185298472673
SAN JUAN,San Martín,San Isidro (Est. Los Angacos),1440,SI,--,--,--,--,SI,--,SI,SI,70091030.0,-31.4870993000717,-68.325134344897
SAN JUAN,San Martín,Villa Dominguito (Est. Puntilla Blanca),619,--,--,--,--,--,SI,--,--,--,70091050.0,-31.55912095737,-68.2976446699079
SAN JUAN,San Martín,Villa Don Bosco (Est. Angaco Sud),2557,--,--,--,SI,--,SI,SI,SI,SI,70091060.0,-31.5518882180598,-68.3390185136148
SAN JUAN,San Martín,Villa El Salvador,110,--,--,--,--,--,SI,--,--,--,70091040.0,-31.4639044466924,-68.4095847372199
SAN JUAN,San Martín,Villa San Martín,1899,--,--,--,--,SI,SI,--,SI,SI,70091070.0,-31.5167619808371,-68.3526471246019
SAN JUAN,Santa Lucía,Alto De Sierra,0,--,--,--,--,--,SI,--,SI,SI,70098010.0,-31.5265278957606,-68.4106014181706
SAN JUAN,Santa Lucía,Colonia Gutierrez,0,--,--,--,--,--,--,--,SI,SI,70098010.0,-31.5173968715659,-68.4546487927052
SAN JUAN,Santa Lucía,Santa Lucía,48087,SI,--,SI,SI,--,SI,SI,SI,SI,70098010.0,-31.5130353688268,-68.4565988777122
SAN JUAN,Sarmiento,Cañada Honda,309,--,--,--,SI,SI,SI,SI,--,SI,70105010.0,-31.9850527438787,-68.5481911385325
SAN JUAN,Jáchal,San José de Jáchal,10940,--,--,SI,SI,SI,SI,SI,SI,SI,70056080.0,-30.2427672850044,-68.7454934559357
SAN JUAN,Jáchal,Tamberías,622,--,--,--,--,--,SI,SI,--,--,70056090.0,-30.1822864487075,-68.7277857836372
SAN JUAN,Jáchal,Villa Malvinas Argentinas,340,--,--,--,--,--,SI,--,--,--,70056100.0,-30.2142413595614,-68.7165558327867
SAN JUAN,Jáchal,Villa Mercedes,1439,--,--,--,--,SI,SI,SI,--,SI,70056110.0,-30.1088721898605,-68.7009429184891
SAN JUAN,Pocito,Barrio Municipal,973,--,--,--,--,--,--,--,--,--,70070005.0,-31.7523486776689,-68.5597213740804
SAN JUAN,Pocito,Barrio Ruta 40,231,--,--,--,--,--,SI,--,SI,SI,70070010.0,-31.8595308229437,-68.5345166485174
SAN JUAN,Pocito,Carpintería,1134,--,--,--,--,--,SI,SI,--,SI,70070020.0,-31.8301409850684,-68.5420989256398
SAN JUAN,Pocito,La Rinconada,0,--,--,--,--,--,--,--,SI,SI,70070010.0,-31.6952378674877,-68.5923025771378
SAN JUAN,Pocito,Las Piedritas,588,--,--,--,--,--,--,--,--,--,70070025.0,-31.629474322189,-68.6080765638159
SAN JUAN,Pocito,Quinto Cuartel,1661,--,--,--,--,--,SI,SI,SI,SI,70070030.0,-31.6140359426027,-68.6001745092873
SAN JUAN,Pocito,Villa Aberastain,0,--,--,--,--,--,SI,--,SI,SI,70070010.0,-31.65701277213,-68.573608949336
SAN JUAN,Pocito,Villa Aberastain - La Rinconada,15409,SI,--,SI,--,SI,SI,SI,--,--,70070040.0,-31.6952378674877,-68.5923025771378
SAN JUAN,Pocito,Villa Barbosa - Villa Nacusi,24240,--,--,--,--,--,SI,--,SI,SI,70070050.0,-31.6219383886537,-68.5359580395485
SAN JUAN,Pocito,Villa Barboza,0,--,--,--,--,--,--,--,SI,SI,70070010.0,-31.5921799746836,-68.5723924425069
SAN JUAN,Pocito,Villa Centenario,778,--,--,--,--,--,SI,--,SI,SI,70070060.0,-31.668402703149,-68.5222919302359
SAN JUAN,Pocito,Villa Nacusi,0,--,--,--,--,--,--,--,--,--,70070010.0,-31.6219383886537,-68.5359580395485
SAN JUAN,Rawson,El Medanito,0,--,--,--,--,--,SI,--,SI,--,70077010.0,-31.583482529045,-68.4697872532749
