,Provincia,Partido,Localidad,Hasta 5 Mbps,6 a 20 Mbps,20 a 100 Mbps
1860,MENDOZA,La Paz,La Paz,61,325,0
1861,MENDOZA,Las Heras,Blanco Encalada,4,0,0
1862,MENDOZA,Las Heras,El Challao,0,203,0
1863,MENDOZA,Las Heras,El Plumerillo,0,36,0
1864,MENDOZA,Las Heras,El Resguardo,0,3,0
1865,MENDOZA,Las Heras,El Zapallar,0,84,0
1866,MENDOZA,Las Heras,Las Heras,677,1763,64
1867,MENDOZA,Las Heras,Panquehua,0,5,0
1868,MENDOZA,Las Heras,Papagayos,1,0,0
1869,MENDOZA,Las Heras,Puente del Inca,0,0,0
1870,MENDOZA,Las Heras,Uspallata,282,301,566
1871,MENDOZA,Lavalle,3 de Mayo,0,21,0
1872,MENDOZA,Lavalle,Barrio Los Olivos,7,222,0
1873,MENDOZA,Lavalle,Costa de Araujo,133,43,0
1874,MENDOZA,Lavalle,El Vergel,0,22,0
1875,MENDOZA,Lavalle,Ingeniero Gustavo André,0,26,0
1876,MENDOZA,Lavalle,Jocolí,0,27,0
1877,MENDOZA,Lavalle,Jocolí Viejo,0,25,0
1878,MENDOZA,Lavalle,Villa Tulumaya,293,87,0
1879,MENDOZA,Luján de Cuyo,Agrelo,0,3,0
1880,MENDOZA,Luján de Cuyo,Barrio Perdriel IV,0,0,0
1881,MENDOZA,Luján de Cuyo,Cacheuta,5,15,0
1882,MENDOZA,Luján de Cuyo,Carrodilla,0,493,0
1883,MENDOZA,Luján de Cuyo,Chacras De Coria,1,684,30
1884,MENDOZA,Luján de Cuyo,Costa Flores,0,0,0
1885,MENDOZA,Luján de Cuyo,El Carrizal,11,1,0
1886,MENDOZA,Luján de Cuyo,El Salto,0,0,0
1887,MENDOZA,Luján de Cuyo,La Puntilla,0,110,2
1888,MENDOZA,Luján de Cuyo,Las Compuertas,334,715,0
1889,MENDOZA,Luján de Cuyo,Las Vegas,0,0,0
1890,MENDOZA,Luján de Cuyo,Luján de Cuyo,1206,1599,700
1891,MENDOZA,Luján de Cuyo,Mayor Drummond,1,265,2
1892,MENDOZA,Luján de Cuyo,Perdriel,56,53,0
1893,MENDOZA,Luján de Cuyo,Potrerillos,6,2,0
1894,MENDOZA,Luján de Cuyo,Ugarteche,105,16,0
1895,MENDOZA,Luján de Cuyo,Vistalba,0,45,0
1896,MENDOZA,Maipú,Barrancas,0,0,0
1897,MENDOZA,Maipú,Barrio Jesús de Nazaret,0,0,0
1898,MENDOZA,Maipú,Coquimbito,0,5,0
1899,MENDOZA,Maipú,Cruz de Piedra,12,0,0
1900,MENDOZA,Maipú,El Pedregal,0,0,0
1901,MENDOZA,Maipú,Fray Luis Beltrán,55,286,0
1902,MENDOZA,Maipú,General Gutierrez,0,65,1
1903,MENDOZA,Maipú,Luzuriaga,0,312,9
1904,MENDOZA,Maipú,Maipú,543,964,81
1905,MENDOZA,Maipú,Rodeo del Medio,216,324,0
1906,MENDOZA,Maipú,Russell,187,899,3
1907,MENDOZA,Maipú,San Roque,194,234,3
1908,MENDOZA,Maipú,Villa Teresa,0,0,0
1909,MENDOZA,Malargüe,Agua Escondida,0,1,0
1910,MENDOZA,Malargüe,Las Leñas,0,0,1
1911,MENDOZA,Malargüe,Malargüe,17,61,9
1912,MENDOZA,OTROS,Otros,6,1,0
1913,MENDOZA,Rivadavia,Andrade,13,0,0
1914,MENDOZA,Rivadavia,Barrio Cooperativa Los Campamentos,5,0,0
1915,MENDOZA,Rivadavia,Barrio Rivadavia,62,1,0
1916,MENDOZA,Rivadavia,El Mirador,65,3,0
1917,MENDOZA,Rivadavia,La Central,98,0,0
1918,MENDOZA,Rivadavia,La Esperanza,33,0,0
1919,MENDOZA,Rivadavia,La Florida,95,0,0
1920,MENDOZA,Rivadavia,La Libertad,59,1,0
1921,MENDOZA,Rivadavia,Los Árboles,8,0,0
1922,MENDOZA,Rivadavia,Los Campamentos,81,0,0
1923,MENDOZA,Rivadavia,Medrano,3,0,0
1924,MENDOZA,Rivadavia,Mundo Nuevo,13,0,0
1925,MENDOZA,Rivadavia,Reducción de Abajo,61,0,0
1926,MENDOZA,Rivadavia,Rivadavia,1530,539,24
1927,MENDOZA,Rivadavia,Santa María de Oro,40,2,0
1928,MENDOZA,San Carlos,Barrio El Cepillo,0,47,0
1929,MENDOZA,San Carlos,Chilecito,0,152,0
1930,MENDOZA,San Carlos,Eugenio Bustos,64,597,0
1931,MENDOZA,San Carlos,La Consulta,35,767,0
1932,MENDOZA,San Carlos,Pareditas,0,120,0
1933,MENDOZA,San Carlos,San Carlos,72,505,0
1934,MENDOZA,San Martín,Alto Salvador,17,10,26
1935,MENDOZA,San Martín,Alto Verde,80,22,49
1936,MENDOZA,San Martín,Chapanay,29,4,6
1937,MENDOZA,San Martín,El Espino,53,6,0
1938,MENDOZA,San Martín,El Ramblón,97,10,0
1939,MENDOZA,San Martín,Montecaseros,85,9,0
1940,MENDOZA,San Martín,Nueva California,43,4,0
1941,MENDOZA,San Martín,Otros,85,9,0
1942,MENDOZA,San Martín,Palmira,17,120,397
1943,MENDOZA,San Martín,San Martín,810,727,529
1944,MENDOZA,San Martín,Tres Porteñas,189,30,0
1945,MENDOZA,San Rafael,25 de Mayo,3,89,0
1946,MENDOZA,San Rafael,Capitán Montoya,2,0,0
1947,MENDOZA,San Rafael,Cuadro Benegas,160,290,598
1948,MENDOZA,San Rafael,El Nihuil,0,88,0
1949,MENDOZA,San Rafael,Goudge,1,176,1
1950,MENDOZA,San Rafael,Jaime Prats,86,8,0
1951,MENDOZA,San Rafael,Las Malvinas,0,53,0
1952,MENDOZA,San Rafael,Monte Comán,429,0,0
1953,MENDOZA,San Rafael,Punta del Agua,0,1,0
1954,MENDOZA,San Rafael,Rama Caída,136,320,0
1955,MENDOZA,San Rafael,Real del Padre,417,167,0
1956,MENDOZA,San Rafael,Salto de Las Rosas,151,212,0
1957,MENDOZA,San Rafael,San Rafael,203,1755,35
1958,MENDOZA,San Rafael,Villa Atuel,14,232,0
1959,MENDOZA,San Rafael,Villa Atuel Norte,102,0,0
1960,MENDOZA,Santa Rosa,Barrio 12 de Octubre,0,0,3
1961,MENDOZA,Santa Rosa,La Dormida,275,28,0
1962,MENDOZA,Santa Rosa,Las Catitas,345,36,0
1963,MENDOZA,Santa Rosa,Santa Rosa,140,13,0
1964,MENDOZA,Tunuyán,Campo Los Andes,0,55,0
1965,MENDOZA,Tunuyán,Colonia Las Rosas,5,194,0
1966,MENDOZA,Tunuyán,Los Sauces,1,22,0
1967,MENDOZA,Tunuyán,Tunuyán,590,1274,8
1968,MENDOZA,Tunuyán,Vista Flores,30,232,2
1969,MENDOZA,Tupungato,Cordón del Plata,227,99,0
1970,MENDOZA,Tupungato,La Arboleda,45,0,0
1971,MENDOZA,Tupungato,San José,0,53,5
1972,MENDOZA,Tupungato,Tupungato,92,1024,0
2068,NEUQUEN,Aluminé,Aluminé,924,204,0
2069,NEUQUEN,Aluminé,Moquehue,54,89,0
2070,NEUQUEN,Aluminé,Villa Pehuenia,358,297,0
2071,NEUQUEN,Añelo,Añelo,255,172,366
2072,NEUQUEN,Añelo,San Patricio del Chañar,202,125,763
2073,NEUQUEN,Catan LilL,Las Coloradas,35,27,0
2074,NEUQUEN,Chos Malal,Chos Malal,398,431,0
2075,NEUQUEN,Chos Malal,Tricao Malal,0,75,0
2076,NEUQUEN,Collón Curá,Piedra del Águila,2,0,0
2077,NEUQUEN,Collón Curá,Santo Tomás,0,0,0
2078,NEUQUEN,Confluencia,11 de Octubre,0,0,418
2079,NEUQUEN,Confluencia,Arroyito,29,0,1
2080,NEUQUEN,Confluencia,Barrio Ruca Luhé,0,0,8
2081,NEUQUEN,Confluencia,Centenario,41,207,948
2082,NEUQUEN,Confluencia,Cutral Có,855,273,253
2083,NEUQUEN,Confluencia,El Chocón,38,42,0
2084,NEUQUEN,Confluencia,Mari Menuco,0,100,0
2085,NEUQUEN,Confluencia,Neuquén,1405,1933,63
2086,NEUQUEN,Confluencia,Otros,3,0,0
2087,NEUQUEN,Confluencia,Plaza Huincul,279,956,180
2088,NEUQUEN,Confluencia,Plottier,205,1272,961
2089,NEUQUEN,Confluencia,Senillosa,943,692,1
2090,NEUQUEN,Confluencia,Villa El Chocón,44,39,0
2091,NEUQUEN,Confluencia,Vista Alegre Norte,5,280,330
2092,NEUQUEN,Confluencia,Vista Alegre Sur,1,270,325
2093,NEUQUEN,Huiliches,Junín de los Andes,385,2069,780
2094,NEUQUEN,Lácar,San Martín de los Andes,309,930,15
2095,NEUQUEN,Lácar,Villa Lago Meliquina,251,97,0
2096,NEUQUEN,Loncopué,Chorriaca,61,0,0
2097,NEUQUEN,Loncopué,Loncopué,1129,86,0
2098,NEUQUEN,Los Lagos,Villa La Angostura,430,1264,3
2099,NEUQUEN,Los Lagos,Villa Traful,2,0,0
2100,NEUQUEN,Minas,Andacollo,37,251,0
2101,NEUQUEN,Minas,Huinganco,21,20,0
2102,NEUQUEN,Minas,Las Ovejas,26,30,0
2103,NEUQUEN,Minas,Manzano Amargo,9,1,0
2104,NEUQUEN,Minas,Varvarco,8,12,0
2105,NEUQUEN,Minas,Villa Del Nahueve,0,20,0
2106,NEUQUEN,Ñorquín,Caviahué,171,11,0
2107,NEUQUEN,Ñorquín,Copahue,22,0,0
2108,NEUQUEN,Ñorquín,El Cholar,15,51,0
2109,NEUQUEN,Ñorquín,El Huecú,99,0,0
2110,NEUQUEN,Ñorquín,Taquimilán,0,32,0
2111,NEUQUEN,OTROS,Otros,0,0,0
2112,NEUQUEN,Pehuenches,Barrancas,0,30,0
2113,NEUQUEN,Pehuenches,Buta Ranquil,3,0,0
2114,NEUQUEN,Pehuenches,Rincón de los Sauces,977,760,0
2115,NEUQUEN,Picún Leufú,Picún Leufú,2,0,0
2116,NEUQUEN,Picunches,Bajada del Agrio,0,0,0
2117,NEUQUEN,Picunches,La Buitrera,0,0,0
2118,NEUQUEN,Picunches,Las Lajas,1,0,0
2119,NEUQUEN,Zapala,Los Catutos,27,0,0
2120,NEUQUEN,Zapala,Mariano Moreno,44,10,0
2121,NEUQUEN,Zapala,Zapala,799,1806,671
2340,SAN JUAN,25 de Mayo,Tupelí,60,0,0
2341,SAN JUAN,25 de Mayo,Villa Borjas,0,8,0
2342,SAN JUAN,25 de Mayo,Villa Borjas - La Chimbera,80,0,0
2343,SAN JUAN,25 de Mayo,Villa Santa Rosa,38,15,0
2344,SAN JUAN,9 de Julio,9 de Julio,259,68,0
2345,SAN JUAN,9 de Julio,Alto de Sierra,6,0,0
2346,SAN JUAN,9 de Julio,Colonia Fiorito,3,0,0
2347,SAN JUAN,9 de Julio,Las Chacritas,77,39,0
2348,SAN JUAN,9 de Julio,Otros,1,0,0
2349,SAN JUAN,Albardón,El Rincón,291,228,2
2350,SAN JUAN,Albardón,Otros,0,0,0
2351,SAN JUAN,Albardón,Villa General San Martin,12,12,0
2352,SAN JUAN,Albardón,Villa General San Martín - Campo Afuera,112,40,0
2353,SAN JUAN,Angaco,Otros,0,0,0
2354,SAN JUAN,Angaco,Villa El Salvador - Villa Sefair,70,46,0
2355,SAN JUAN,Calingasta,Barreal - Villa Pituil,1294,0,0
2356,SAN JUAN,Calingasta,Calingasta,370,0,0
2357,SAN JUAN,Calingasta,Tamberías,130,0,0
2358,SAN JUAN,Capital,San Juan,1195,1442,847
2359,SAN JUAN,Caucete,Bermejo,1,0,0
2360,SAN JUAN,Caucete,Caucete,445,1078,0
2361,SAN JUAN,Caucete,Vallecito,5,0,0
2362,SAN JUAN,Caucete,Villa Independencia,0,14,0
2363,SAN JUAN,Chimbas,Chimbas,1269,1497,572
2364,SAN JUAN,Chimbas,Villa Paula Albarracin,0,3,0
2365,SAN JUAN,Iglesia,Angualasto,34,1,0
2366,SAN JUAN,Iglesia,Bella Vista,39,1,0
2367,SAN JUAN,Iglesia,Iglesia,71,3,0
2368,SAN JUAN,Iglesia,Las Flores,98,3,0
2369,SAN JUAN,Iglesia,Pismanta,22,0,0
2370,SAN JUAN,Iglesia,Rodeo,325,30,9
2371,SAN JUAN,Iglesia,Tudcum,78,3,0
2372,SAN JUAN,Jáchal,El Médano,49,1,0
2373,SAN JUAN,Jáchal,Gran China,77,2,0
2374,SAN JUAN,Jáchal,Huaco,108,0,0
2375,SAN JUAN,Jáchal,Mogna,5,0,0
2376,SAN JUAN,Jáchal,Niquivil,22,1,0
2377,SAN JUAN,Jáchal,Pampa Vieja,83,1,0
