Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
NEUQUEN,Confluencia,Vista Alegre Norte,SI,--,--,SI,SI,SI,SI,SI,--
NEUQUEN,Confluencia,Vista Alegre Sur,SI,--,--,SI,--,--,SI,--,SI
MENDOZA,Luján de Cuyo,Luján de Cuyo,SI,SI,SI,SI,SI,SI,SI,SI,SI
MENDOZA,Luján de Cuyo,MAYOR DRUMMOND,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,Perdriel,SI,--,SI,SI,--,SI,SI,SI,--
MENDOZA,Luján de Cuyo,Piedras Blancas,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,Potrerillos,--,--,--,SI,SI,SI,SI,SI,SI
MENDOZA,Luján de Cuyo,Ugarteche,--,--,--,SI,SI,SI,SI,SI,--
MENDOZA,Luján de Cuyo,Valle Del Sol,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,Villa El Refugio,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,VISTALBA,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Maipú,Barrancas,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,Maipú,Barrio Jesús de Nazaret,--,--,--,--,--,--,--,SI,--
MENDOZA,Maipú,COQUIMBITO,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Maipú,Cruz de Piedra,--,--,--,SI,SI,SI,SI,SI,--
MENDOZA,Maipú,El Pedregal,--,--,--,--,--,--,--,SI,--
NEUQUEN,Collón Curá,Piedra del Águila,--,--,SI,--,SI,SI,SI,--,SI
NEUQUEN,Collón Curá,Santo Tomás,--,--,--,--,--,--,SI,--,SI
NEUQUEN,Confluencia,11 de Octubre,SI,--,--,SI,SI,SI,SI,--,--
NEUQUEN,Confluencia,Arroyito,--,--,--,--,SI,SI,--,SI,--
NEUQUEN,Confluencia,Barrio Ruca Luhé,--,--,--,SI,--,--,SI,--,--
NEUQUEN,Confluencia,Centenario,SI,SI,--,SI,SI,SI,SI,SI,SI
NEUQUEN,Confluencia,Cutral Có,SI,--,SI,SI,SI,SI,--,SI,SI
NEUQUEN,Confluencia,El Chocón,--,--,--,--,--,--,--,SI,SI
NEUQUEN,Confluencia,Mari Menuco,--,--,--,--,SI,SI,--,SI,--
NEUQUEN,Huiliches,Junín de los Andes,SI,SI,SI,SI,SI,SI,SI,SI,SI
MENDOZA,Guaymallén,BERMEJO,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,BUENA NUEVA,--,--,--,SI,SI,SI,--,--,SI
MENDOZA,Guaymallén,Capilla Del Rosario,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,COLONIA SEGOVIA,--,--,--,--,SI,SI,--,--,--
MENDOZA,Guaymallén,Colonia Segovia,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Guaymallén,DORREGO,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,EL SAUCE,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,GENERAL BELGRANO,--,--,--,--,SI,SI,--,--,--
MENDOZA,Guaymallén,Guaymallén,SI,SI,SI,SI,SI,SI,SI,SI,--
MENDOZA,Guaymallén,JESUS NAZARENO,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,KILOMETRO 11 (GUAYMALLEN),--,--,--,--,--,--,--,--,--
MENDOZA,Guaymallén,La Primavera,--,--,--,--,--,--,--,SI,--
MENDOZA,Guaymallén,LAS CAÑAS,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,Los Corralitos,SI,--,SI,--,SI,SI,SI,SI,SI
MENDOZA,Las Heras,Panquehua,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Las Heras,Papagayos,--,--,--,--,SI,SI,--,--,SI
MENDOZA,Las Heras,Polvaredas,--,--,--,--,--,--,--,--,--
MENDOZA,Las Heras,Puente del Inca,--,--,--,--,SI,SI,--,--,SI
MENDOZA,Las Heras,Punta de Vacas,--,--,--,--,--,--,--,--,--
MENDOZA,Las Heras,Sierras De Encalada,--,--,--,--,SI,SI,--,--,--
MENDOZA,Las Heras,Uspallata,SI,--,SI,SI,SI,SI,SI,--,--
MENDOZA,Lavalle,3 de Mayo,--,--,--,--,SI,--,SI,SI,--
MENDOZA,Lavalle,Barrio Alto del Olvido,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Barrio Jocolí II,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Barrio La Esperanza,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Barrio La Palmera,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Barrio La Pega,--,--,--,--,--,--,SI,--,--
MENDOZA,Lavalle,Barrio Lagunas de Bartoluzzi,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Barrio Los Jarilleros,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Barrio Los Olivos,SI,--,--,--,--,--,SI,--,--
MENDOZA,Lavalle,Barrio Virgen del Rosario,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Costa de Araujo,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Lavalle,El Paramillo,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,El Vergel,--,--,--,--,--,--,--,SI,--
MENDOZA,Lavalle,Ingeniero Gustavo André,--,--,--,--,--,--,--,SI,--
MENDOZA,Lavalle,Jocolí,--,--,--,--,--,--,--,SI,--
MENDOZA,Lavalle,Jocolí Viejo,--,--,--,--,--,--,--,SI,--
MENDOZA,Luján de Cuyo,Agrelo,SI,--,--,SI,SI,SI,SI,SI,--
MENDOZA,Luján de Cuyo,Barrio Adina I Y Ii,--,--,--,--,SI,SI,--,--,--
MENDOZA,Luján de Cuyo,Barrio Perdriel IV,--,--,--,SI,SI,--,--,SI,--
MENDOZA,Luján de Cuyo,Cacheuta,SI,--,--,--,SI,SI,SI,SI,--
MENDOZA,Luján de Cuyo,CARRODILLA,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,CHACRAS DE CORIA,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,Costa Flores,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,El Carmelo,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,El Carrizal,--,--,--,--,SI,--,--,SI,--
MENDOZA,Luján de Cuyo,El Salto,--,--,--,--,--,--,SI,SI,--
MENDOZA,Luján de Cuyo,La Puntilla,--,--,--,SI,--,--,--,SI,--
MENDOZA,Luján de Cuyo,Las Carditas,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,Las Compuertas,SI,--,SI,--,SI,--,SI,SI,--
MENDOZA,Luján de Cuyo,Las Vegas,--,--,--,--,--,--,SI,SI,--
MENDOZA,Luján de Cuyo,Los Manantiales,--,--,--,--,SI,SI,--,--,--
MENDOZA,Guaymallén,PEDRO MOLINA,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,Puente de Hierro,SI,--,SI,--,SI,SI,SI,SI,--
MENDOZA,Guaymallén,RODEO DE LA CRUZ,--,--,--,SI,SI,SI,--,--,SI
MENDOZA,Guaymallén,SAN FRANCISCO DEL MONTE,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,San Jose,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,VILLA NUEVA,--,--,--,--,SI,SI,--,--,--
MENDOZA,Junín,ALTO VERDE,--,--,--,--,--,--,--,--,--
MENDOZA,Junín,Ingeniero Giagnoni,SI,--,SI,SI,SI,SI,SI,SI,--
MENDOZA,Junín,Junín,SI,--,SI,SI,SI,SI,SI,SI,--
MENDOZA,Junín,La Colonia,--,--,--,SI,SI,SI,--,SI,SI
MENDOZA,Junín,Los Barriales,SI,--,SI,--,SI,SI,SI,SI,--
MENDOZA,Junín,Medrano,--,--,--,--,--,--,--,SI,--
MENDOZA,Junín,Phillips,--,--,--,--,--,--,SI,SI,--
MENDOZA,Junín,Rodríguez Peña,--,--,--,--,SI,--,SI,SI,--
MENDOZA,La Paz,Desaguadero,--,--,--,--,SI,SI,SI,--,--
MENDOZA,La Paz,La Paz,SI,--,--,SI,SI,SI,SI,--,--
MENDOZA,La Paz,Villa Antigua,--,--,--,--,--,--,--,--,--
MENDOZA,Las Heras,Blanco Encalada,--,--,--,--,--,--,SI,--,--
MENDOZA,Las Heras,Capdeville,--,--,--,--,SI,--,--,--,--
MENDOZA,Las Heras,El Algarrobal,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Las Heras,El Borbollon,--,--,--,--,SI,SI,--,--,--
MENDOZA,Las Heras,EL CHALLAO,--,--,--,SI,--,--,--,--,--
MENDOZA,Las Heras,EL PLUMERILLO,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Las Heras,EL RESGUARDO,--,--,--,SI,--,SI,--,--,--
MENDOZA,Las Heras,EL ZAPALLAR,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Las Heras,Jocolí,--,--,--,--,SI,SI,SI,--,--
MENDOZA,Las Heras,La Cieneguita,--,--,--,--,SI,SI,--,--,--
MENDOZA,Las Heras,Las Cuevas,--,--,--,--,SI,SI,--,--,--
MENDOZA,Las Heras,Las Heras,SI,SI,SI,SI,SI,SI,SI,SI,SI
MENDOZA,Las Heras,Los Penitentes,--,--,--,--,--,--,--,--,--
NEUQUEN,Ñorquín,Caviahué,--,--,SI,--,SI,--,SI,SI,SI
NEUQUEN,Ñorquín,Copahue,--,--,--,--,--,--,SI,SI,--
NEUQUEN,Ñorquín,El Cholar,--,--,--,--,--,--,SI,SI,SI
NEUQUEN,Ñorquín,El Huecú,--,--,--,--,SI,--,SI,SI,SI
NEUQUEN,Ñorquín,Taquimilán,--,--,--,--,--,--,SI,SI,--
NEUQUEN,Pehuenches,Barrancas,--,--,--,--,--,--,SI,SI,SI
NEUQUEN,Pehuenches,Buta Ranquil,--,--,--,--,SI,--,SI,--,SI
NEUQUEN,Pehuenches,Octavio Pico,--,--,--,--,--,--,--,--,--
NEUQUEN,Pehuenches,Rincón de los Sauces,SI,SI,SI,SI,SI,SI,SI,SI,SI
NEUQUEN,Picún Leufú,El Sauce,--,--,--,--,--,--,--,--,--
NEUQUEN,Picún Leufú,Paso Aguerre,--,--,--,--,--,--,SI,--,--
