Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2014-01-01,4,San Juan,51390.0,729.0,52119.0
2014-01-01,3,Catamarca,24665.0,21.0,24686.0
2014-01-01,3,Mendoza,166184.0,1740.0,167924.0
2014-01-01,3,San Juan,51031.0,748.0,51779.0
2014-01-01,2,Catamarca,24660.0,23.0,24683.0
2014-01-01,2,Mendoza,165046.0,1761.0,166807.0
2014-01-01,2,San Juan,50891.0,755.0,51646.0
2014-01-01,1,Catamarca,24209.0,23.0,24232.0
2014-01-01,1,Mendoza,164084.0,1761.0,165845.0
2014-01-01,1,San Juan,50543.0,755.0,51298.0
